source,trace_id,panel,source_group,time_min,signal,unit,x_uncertainty_min,y_uncertainty,strict_delay_limit_min,relaxed_delay_limit_min,source_url,processing
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,25.5,20.049,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,25.75,20.381,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,26.0,20.713,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,26.25,21.0075,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,26.5,21.302,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,26.75,21.7075,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,27.0,22.113,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,27.25,22.444499999999998,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,27.5,22.776,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,27.75,22.997500000000002,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,28.0,23.219,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,28.25,23.366500000000002,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,28.5,23.514,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,28.75,23.661,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,29.0,23.808,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
