grid,waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,rtd_shape,amplitude_retention,NRMSE,pearson_r,feature_delay_min,feature_definition,aligned_amplitude_retention,aligned_NRMSE,aligned_pearson_r,pass_strict,strict_criterion
primary_1080,pulse,2.0,well_mixed,15.0,1.0,,0.11418267712686378,0.09123074109862409,0.11527795273046064,3.3500000000000076,peak time,0.11418267712686378,0.08136830232910515,0.517875422832438,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,15.0,2.0,,0.10284788208636514,0.09255207786462813,0.055136650683124996,4.9000000000000075,peak time,0.10284788208636514,0.08291939915172779,0.4825447700506854,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,15.0,5.0,,0.0815435389936049,0.09344677358177503,-0.006847670183638094,8.4,peak time,0.0815435389936049,0.08610117961703895,0.4104080393462586,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,0.5,0.0,3.0,0.9488860518481784,0.03549347152925136,0.9216344939646227,0.5,peak time,0.9488860518481784,0.004188502881389366,0.9992754202658065,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,0.5,1.0,3.0,0.7172303453780072,0.07248029288234552,0.631694711333904,1.2,peak time,0.7172303453780072,0.025047241700287295,0.9722805261697739,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,0.5,2.0,3.0,0.5332154040732632,0.08067430817857826,0.4957821325988005,1.45,peak time,0.5332154040732632,0.04277463450317103,0.9098090461622664,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,0.5,5.0,3.0,0.29927209473504357,0.08684156593331083,0.32787965005801384,1.9000000000000077,peak time,0.29927209473504357,0.0642243405907249,0.7613439444267184,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,1.0,0.0,3.0,0.8426207513238217,0.06062807635483596,0.7592698931904154,0.9000000000000076,peak time,0.8426207513238217,0.013562263489832289,0.991954549565011,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,1.0,1.0,3.0,0.6571714225176667,0.08666437562258583,0.45123884715577045,1.6500000000000077,peak time,0.6571714225176667,0.030383560022965758,0.9567324621633508,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,1.0,2.0,3.0,0.4982036883340552,0.09049844889193254,0.3383106532421361,2.0,peak time,0.4982036883340552,0.045263594950023536,0.8969656069054768,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
