tau_s_min,waveform,T_min,topology,tau_f_min,amplitude_retention,nrmse,pearson_r,feature_delay_min,aligned_amplitude_retention,aligned_nrmse,aligned_pearson_r,pass_strict,pass_shape_only,failed
1.0,ramp,10.0,gamma_rtd,2.0,1.0000000000000009,0.06536870189051847,0.9885540025895324,3.0500000000000074,1.0000000000000009,0.006622342972063828,0.9998762400051959,False,True,delay
1.0,ramp,10.0,gamma_rtd,2.03750564,1.0000000000000007,0.0661091594250412,0.988297479477346,3.1,1.0000000000000007,0.006792056345333919,0.9998701987863068,False,True,delay
1.0,ramp,10.0,gamma_rtd,2.24070237,1.0000000000000009,0.07008262983782226,0.986874240440784,3.3000000000000074,1.0000000000000009,0.0073851215874444305,0.9998467332849983,False,True,delay
1.0,ramp,10.0,gamma_rtd,2.46416355,1.0000000000000004,0.0743776340845196,0.9852478912444602,3.5,1.0000000000000004,0.007999270009531682,0.9998197208701003,False,True,delay
1.0,ramp,10.0,gamma_rtd,2.70991009,1.0000000000000007,0.07901017040729276,0.983392288264646,3.75,1.0000000000000007,0.008848270023882408,0.9997801514654802,False,True,delay
1.0,ramp,10.0,gamma_rtd,2.9801645,1.0000000000000007,0.08399474798826284,0.9812793765715037,4.0,1.0000000000000007,0.009754185796836307,0.9997327477204555,False,True,delay
1.0,ramp,10.0,gamma_rtd,3.0,1.0000000000000009,0.08435606418621283,0.9811215714115658,4.0,1.0000000000000009,0.00978260537635943,0.9997304866517542,False,True,delay
1.0,ramp,10.0,gamma_rtd,3.27737088,1.0000000000000009,0.08934393732129607,0.9788795109248899,4.300000000000008,1.0000000000000009,0.01089102982200645,0.9996680656202609,False,True,delay
1.0,ramp,10.0,gamma_rtd,3.60421712,1.0000000000000009,0.09506801586476535,0.9761618749362155,4.6,1.0000000000000009,0.012126060614568267,0.9995884744785538,False,True,delay
1.0,ramp,10.0,gamma_rtd,3.7,1.0000000000000009,0.09671439595575591,0.9753519397790064,4.7,1.0000000000000009,0.012529780675663441,0.999561264630583,False,True,delay
1.0,ramp,10.0,gamma_rtd,3.96365914,1.0000000000000009,0.10117476879520344,0.9730949681640655,4.95,1.0000000000000009,0.013610798892151598,0.9994829244341621,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,4.35894766,1.000000000000001,0.10766950257973129,0.9696471105175117,5.300000000000008,1.000000000000001,0.015265909211025868,0.9993495308933731,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,4.79365758,1.000000000000001,0.11455529330741507,0.9657869096230525,5.7,1.000000000000001,0.017196004007546548,0.9991758432673666,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,5.0,1.000000000000001,0.11773346914039458,0.9639356097497607,5.9000000000000075,1.000000000000001,0.01814959539094783,0.9990835068457038,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,5.27172033,1.0000000000000007,0.12183346079620712,0.9614836386685788,6.1500000000000075,1.0000000000000007,0.01941243696855423,0.9989527045718752,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,5.79745941,1.000000000000001,0.129504222597418,0.9567074884139897,6.6,1.000000000000001,0.021903685532371785,0.9986670980936625,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,6.37562949,1.000000000000001,0.13756745948779395,0.9514296783178134,7.1,1.000000000000001,0.024736005518277253,0.9983026994138724,False,True,NRMSE+delay
1.0,ramp,10.0,gamma_rtd,7.01145942,1.0000000000000009,0.14602351281305703,0.9456224369439524,7.6500000000000075,1.0000000000000009,0.027918716639287907,0.9978428756841159,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,7.71069952,1.0000000000000013,0.1548739381281888,0.9392588839928556,8.25,1.0000000000000013,0.03145667040517817,0.9972678555346396,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,8.47967356,1.0000000000000007,0.1641221552297534,0.9323128617278175,8.95,1.0000000000000007,0.03532769136459607,0.9965675438481115,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,9.32533598,1.0000000000000009,0.17377395755413524,0.924758769815972,9.650000000000007,1.0000000000000009,0.03965133800272382,0.9956893535915902,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,10.0,1.0000000000000007,0.18112793370795516,0.9188060264743592,10.25,1.0000000000000007,0.04302562403318436,0.9949395472405446,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,10.25533478,1.0000000000000009,0.18383786446733097,0.9165714584056196,10.5,1.0000000000000009,0.04427961446665475,0.9946485788790925,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,11.27808066,1.0000000000000007,0.19432532109081002,0.9077262267529641,11.400000000000007,1.0000000000000007,0.04935259056411272,0.9933842582527675,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,12.40282313,1.0000000000000004,0.20525076546599733,0.8981989643462984,12.35,1.0000000000000004,0.054836191865373404,0.9918693033537819,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,13.63973412,0.9999999999918626,0.2166315887311694,0.8879664638263701,13.45,0.9999999999918626,0.060697003607407866,0.9900976613439344,False,True,NRMSE+r+delay
1.0,ramp,10.0,gamma_rtd,15.0,0.9999999995470633,0.2284880204235034,0.8770069247860737,14.650000000000007,0.9999999995424165,0.06697731304498819,0.9880245393032854,False,True,NRMSE+r+delay
1.0,ramp,30.0,plug,0.05,1.0000000000000007,0.012457238990734809,0.9996273249400495,1.1000000000000076,1.0000000000000007,0.0010227977732603373,0.9999971515432088,True,True,
1.0,ramp,30.0,plug,0.05498641,1.0000000000000009,0.012515001842807126,0.9996238790466062,1.1000000000000076,1.0000000000000009,0.0010025925310977338,0.9999972438619503,True,True,
1.0,ramp,30.0,plug,0.0604701,1.0000000000000009,0.012578525312031043,0.9996200714134338,1.1000000000000076,1.0000000000000007,0.0009838341077393691,0.9999973268535887,True,True,
1.0,ramp,30.0,plug,0.06650068,1.0000000000000007,0.01264838411187768,0.9996158621689334,1.1000000000000076,1.0000000000000007,0.0009676336623514707,0.9999973957113574,True,True,
1.0,ramp,30.0,plug,0.07313267,1.0000000000000007,0.012725209839745316,0.9996112067003501,1.1000000000000076,1.0000000000000007,0.0009554433359179442,0.9999974443382439,True,True,
1.0,ramp,30.0,plug,0.08042606,1.0000000000000009,0.012809697465202519,0.999606054966757,1.1500000000000077,1.0000000000000009,0.0011289209423311674,0.9999966270695679,True,True,
1.0,ramp,30.0,plug,0.0884468,1.0000000000000007,0.012902611007531197,0.999600350796992,1.1500000000000077,1.0000000000000007,0.0010810049678054467,0.9999968716980939,True,True,
1.0,ramp,30.0,plug,0.09726744,1.0000000000000007,0.013004790951095696,0.9995940310048812,1.1500000000000077,1.0000000000000007,0.0010354522567011214,0.9999970927688138,True,True,
1.0,ramp,30.0,plug,0.1,1.0000000000000007,0.013036445485462326,0.9995920632533203,1.1500000000000077,1.0000000000000007,0.0010230118596621035,0.999997151065813,True,True,
1.0,ramp,30.0,plug,0.10696774,1.0000000000000007,0.013117145869632361,0.9995870238801223,1.1500000000000077,1.0000000000000007,0.0009955940364664766,0.9999972756333841,True,True,
1.0,ramp,30.0,plug,0.11763544,1.0000000000000007,0.013240699843332227,0.9995792493234338,1.1500000000000077,1.0000000000000007,0.0009653250726683591,0.9999974056164991,True,True,
1.0,ramp,30.0,plug,0.12936701,1.0000000000000007,0.013376576500986906,0.9995706167474924,1.2,1.0000000000000007,0.0011356678484227042,0.9999965916642972,True,True,
1.0,ramp,30.0,plug,0.14226855,1.0000000000000009,0.013526004937866954,0.9995610233112019,1.2,1.0000000000000009,0.0010602935140373822,0.9999969736485274,True,True,
1.0,ramp,30.0,plug,0.15645673,1.0000000000000007,0.013690317548811204,0.9995503521640643,1.2,1.0000000000000007,0.0009974073346962454,0.9999972675629273,True,True,
