time_min,c_true,c_measured_device_A,c_measured_device_B,lod_au
111.00,0.374065,0.421294,0.634431,0.10
111.25,0.371034,0.416940,0.630342,0.10
111.50,0.368100,0.412700,0.626264,0.10
111.75,0.365263,0.408572,0.622199,0.10
112.00,0.362519,0.404556,0.618147,0.10
112.25,0.359868,0.400651,0.614111,0.10
112.50,0.357308,0.396854,0.610093,0.10
112.75,0.354836,0.393166,0.606092,0.10
113.00,0.352450,0.389584,0.602110,0.10
113.25,0.350148,0.386108,0.598150,0.10
113.50,0.347930,0.382735,0.594211,0.10
113.75,0.345791,0.379464,0.590295,0.10
114.00,0.343731,0.376293,0.586403,0.10
114.25,0.341748,0.373222,0.582537,0.10
114.50,0.339840,0.370247,0.578696,0.10
114.75,0.338004,0.367368,0.574882,0.10
115.00,0.336238,0.364582,0.571097,0.10
115.25,0.334542,0.361889,0.567339,0.10
115.50,0.332912,0.359285,0.563612,0.10
115.75,0.331347,0.356769,0.559914,0.10
116.00,0.329845,0.354339,0.556247,0.10
116.25,0.328404,0.351994,0.552612,0.10
116.50,0.327022,0.349731,0.549009,0.10
116.75,0.325697,0.347549,0.545438,0.10
117.00,0.324428,0.345446,0.541901,0.10
117.25,0.323213,0.343419,0.538398,0.10
117.50,0.322049,0.341466,0.534928,0.10
117.75,0.320936,0.339587,0.531493,0.10
118.00,0.319872,0.337778,0.528093,0.10
118.25,0.318854,0.336039,0.524729,0.10
118.50,0.317882,0.334366,0.521400,0.10
118.75,0.316953,0.332759,0.518106,0.10
119.00,0.316066,0.331215,0.514849,0.10
119.25,0.315220,0.329733,0.511628,0.10
119.50,0.314412,0.328310,0.508443,0.10
119.75,0.313643,0.326946,0.505295,0.10
120.00,0.312909,0.325637,0.502184,0.10
120.25,0.312210,0.324383,0.499109,0.10
120.50,0.311545,0.323181,0.496071,0.10
120.75,0.310912,0.322031,0.493071,0.10
121.00,0.310309,0.320929,0.490106,0.10
121.25,0.309736,0.319875,0.487179,0.10
121.50,0.309191,0.318867,0.484289,0.10
121.75,0.308674,0.317903,0.481435,0.10
122.00,0.308182,0.316983,0.478618,0.10
122.25,0.307715,0.316103,0.475838,0.10
122.50,0.307272,0.315263,0.473094,0.10
122.75,0.306852,0.314462,0.470386,0.10
123.00,0.306454,0.313697,0.467714,0.10
123.25,0.306076,0.312968,0.465079,0.10
123.50,0.305719,0.312274,0.462479,0.10
123.75,0.305380,0.311612,0.459915,0.10
124.00,0.305060,0.310981,0.457387,0.10
124.25,0.304756,0.310381,0.454893,0.10
124.50,0.304469,0.309810,0.452434,0.10
124.75,0.304198,0.309267,0.450011,0.10
125.00,0.303942,0.308751,0.447621,0.10
125.25,0.303700,0.308260,0.445266,0.10
125.50,0.303472,0.307794,0.442945,0.10
125.75,0.303256,0.307351,0.440657,0.10
126.00,0.303053,0.306931,0.438402,0.10
126.25,0.302861,0.306533,0.436181,0.10
126.50,0.302680,0.306155,0.433992,0.10
126.75,0.302510,0.305797,0.431835,0.10
127.00,0.302349,0.305457,0.429711,0.10
127.25,0.302198,0.305136,0.427618,0.10
127.50,0.302056,0.304831,0.425557,0.10
127.75,0.301922,0.304543,0.423527,0.10
128.00,0.301797,0.304271,0.421527,0.10
128.25,0.301679,0.304013,0.419558,0.10
128.50,0.301568,0.303770,0.417619,0.10
128.75,0.301464,0.303539,0.415710,0.10
129.00,0.301366,0.303322,0.413829,0.10
129.25,0.301274,0.303117,0.411978,0.10
