theta_min,through,wick,fmc,chrono,accum
97.0,0.000000,0.000158,0.000000,0.000000,0.008330
97.5,0.000000,0.000153,0.000000,0.000000,0.008330
98.0,0.000000,0.000147,0.000000,0.000000,0.008330
98.5,0.000000,0.000142,0.000000,0.000000,0.008330
99.0,0.000000,0.000138,0.000000,0.000000,0.008330
99.5,0.000000,0.000133,0.000000,0.000000,0.008330
100.0,0.000000,0.000128,0.000000,0.000000,0.008330
100.5,0.000000,0.000124,0.000000,0.000000,0.008330
101.0,0.000000,0.000120,0.000000,0.000000,0.008330
101.5,0.000000,0.000115,0.000000,0.000000,0.008330
102.0,0.000000,0.000111,0.000000,0.000000,0.008330
102.5,0.000000,0.000108,0.000000,0.000000,0.008330
103.0,0.000000,0.000104,0.000000,0.000000,0.008330
103.5,0.000000,0.000100,0.000000,0.000000,0.008330
104.0,0.000000,0.000097,0.000000,0.000000,0.008330
104.5,0.000000,0.000094,0.000000,0.000000,0.008330
105.0,0.000000,0.000090,0.000000,0.000000,0.008330
105.5,0.000000,0.000087,0.000000,0.000000,0.008330
106.0,0.000000,0.000084,0.000000,0.000000,0.008330
106.5,0.000000,0.000081,0.000000,0.000000,0.008330
107.0,0.000000,0.000078,0.000000,0.000000,0.008330
107.5,0.000000,0.000076,0.000000,0.000000,0.008330
108.0,0.000000,0.000073,0.000000,0.000000,0.008330
108.5,0.000000,0.000071,0.000000,0.000000,0.008330
109.0,0.000000,0.000068,0.000000,0.000000,0.008330
109.5,0.000000,0.000066,0.000000,0.000000,0.008330
110.0,0.000000,0.000064,0.000000,0.000000,0.008330
110.5,0.000000,0.000061,0.000000,0.000000,0.008330
111.0,0.000000,0.000059,0.000000,0.000000,0.008330
111.5,0.000000,0.000057,0.000000,0.000000,0.008330
112.0,0.000000,0.000055,0.000000,0.000000,0.008330
112.5,0.000000,0.000053,0.000000,0.000000,0.008330
113.0,0.000000,0.000051,0.000000,0.000000,0.008330
113.5,0.000000,0.000050,0.000000,0.000000,0.008330
114.0,0.000000,0.000048,0.000000,0.000000,0.008330
114.5,0.000000,0.000046,0.000000,0.000000,0.008330
115.0,0.000000,0.000045,0.000000,0.000000,0.008330
115.5,0.000000,0.000043,0.000000,0.000000,0.008330
116.0,0.000000,0.000042,0.000000,0.000000,0.008330
116.5,0.000000,0.000040,0.000000,0.000000,0.008330
