time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
8.850000,0.0040338818,0.0007645793,0.0004015876,10,5,1,cstr
8.900000,0.0041944377,0.0007971094,0.0004192909,10,5,1,cstr
8.950000,0.0043607793,0.0008309133,0.0004377173,10,5,1,cstr
9.000000,0.0045330891,0.0008660361,0.0004568937,10,5,1,cstr
9.050000,0.0047115542,0.0009025239,0.0004768478,10,5,1,cstr
9.100000,0.0048963664,0.0009404244,0.0004976083,10,5,1,cstr
9.150000,0.0050877224,0.0009797867,0.0005192047,10,5,1,cstr
9.200000,0.0052858240,0.0010206613,0.0005416675,10,5,1,cstr
9.250000,0.0054908777,0.0010631004,0.0005650283,10,5,1,cstr
9.300000,0.0057030953,0.0011071575,0.0005893196,10,5,1,cstr
9.350000,0.0059226937,0.0011528878,0.0006145749,10,5,1,cstr
9.400000,0.0061498950,0.0012003482,0.0006408287,10,5,1,cstr
9.450000,0.0063849266,0.0012495970,0.0006681168,10,5,1,cstr
9.500000,0.0066280215,0.0013006944,0.0006964759,10,5,1,cstr
9.550000,0.0068794179,0.0013537022,0.0007259440,10,5,1,cstr
9.600000,0.0071393596,0.0014086840,0.0007565601,10,5,1,cstr
9.650000,0.0074080961,0.0014657052,0.0007883646,10,5,1,cstr
9.700000,0.0076858825,0.0015248329,0.0008213989,10,5,1,cstr
9.750000,0.0079729798,0.0015861364,0.0008557057,10,5,1,cstr
9.800000,0.0082696546,0.0016496866,0.0008913293,10,5,1,cstr
9.850000,0.0085761794,0.0017155563,0.0009283148,10,5,1,cstr
9.900000,0.0088928330,0.0017838207,0.0009667090,10,5,1,cstr
9.950000,0.0092198997,0.0018545565,0.0010065600,10,5,1,cstr
10.000000,0.0095576702,0.0019278429,0.0010479173,10,5,1,cstr
10.050000,0.0099064413,0.0020037610,0.0010908318,10,5,1,cstr
10.100000,0.0102665159,0.0020823939,0.0011353559,10,5,1,cstr
10.150000,0.0106382032,0.0021638273,0.0011815434,10,5,1,cstr
10.200000,0.0110218188,0.0022481488,0.0012294500,10,5,1,cstr
10.250000,0.0114176844,0.0023354482,0.0012791325,10,5,1,cstr
10.300000,0.0118261284,0.0024258180,0.0013306497,10,5,1,cstr
10.350000,0.0122474853,0.0025193527,0.0013840616,10,5,1,cstr
10.400000,0.0126820964,0.0026161492,0.0014394304,10,5,1,cstr
10.450000,0.0131303093,0.0027163070,0.0014968197,10,5,1,cstr
10.500000,0.0135924784,0.0028199281,0.0015562948,10,5,1,cstr
10.550000,0.0140689643,0.0029271168,0.0016179229,10,5,1,cstr
10.600000,0.0145601346,0.0030379800,0.0016817731,10,5,1,cstr
